 ,Area,Mean,Min,Max,
1,9.641,1891.222,552,2721,1
2,9.641,797.876,250,1098,
3,9.641,260.111,104,552,
4,9.641,724.151,250,1061,
5,9.641,2182.267,552,3191,
6,9.641,1052.253,250,1728,
7,9.641,1581.849,552,2196,2
8,9.641,503.644,250,697,
9,9.641,148.147,1,552,
10,9.641,358.258,162,735,
11,9.641,1777.102,552,2377,
12,9.641,769.378,250,1214,
13,9.641,1443.631,552,1996,3
14,9.641,459.453,250,675,
15,9.641,227.08,67,552,
16,9.641,525.556,250,747,
17,9.641,1676.36,552,2356,
18,9.641,716.689,250,1189,
19,9.641,978.902,552,1396,4
20,9.641,330.098,237,479,
21,9.641,190.511,34,552,
22,9.641,464.822,250,638,
23,9.641,1166.836,552,1569,
24,9.641,858.227,250,1389,
25,9.641,1171.507,552,1721,5
26,9.641,412.764,250,569,
27,9.641,183.551,43,552,
28,9.641,244.542,156,380,
29,9.641,1175.96,552,1662,
30,9.641,711.698,250,1137,
31,9.641,1166.951,552,1612,6
32,9.641,377.076,250,542,
33,9.641,207.084,58,552,
34,9.641,400.244,243,616,
35,9.641,1201.524,552,1624,
36,9.641,500.382,250,881,
37,9.641,1185.88,552,1786,7
38,9.641,356.147,250,536,
39,9.641,200.427,44,552,
40,9.641,360.053,170,614,
41,9.641,1381.987,552,1931,
42,9.641,684.182,250,1203,
43,9.641,1020.107,552,1466,8
44,9.641,340.991,250,529,
45,9.641,201.342,40,552,
46,9.641,527.72,250,739,
47,9.641,1323.28,552,1750,
48,9.641,798.773,250,1418,
49,9.641,1167.298,552,1547,9
50,9.641,526.471,250,701,
51,9.641,269.058,63,552,
52,9.641,469.791,250,761,
53,9.641,1400.12,552,2164,
54,9.641,823.498,250,1353,
55,9.641,1412.058,552,1820,10
56,9.641,437.924,250,620,
57,9.641,197.431,46,552,
58,9.641,554.222,250,869,
59,9.641,1456.133,552,2006,
60,9.641,626.409,250,1167,
61,9.641,1177.898,552,1626,11
62,9.641,447.884,250,656,
63,9.641,248.964,110,552,
64,9.641,457.182,247,631,
65,9.641,1279.751,552,1783,
66,9.641,751.813,250,1150,
67,9.641,1345.182,552,1838,12
68,9.641,459.227,250,636,
69,9.641,258.227,94,552,
70,9.641,459.822,250,715,
71,9.641,1202.244,552,1650,
72,9.641,534.12,250,959,
73,9.641,1520.716,552,2098,13
74,9.641,519.644,250,706,
75,9.641,170.938,15,552,
76,9.641,399.342,206,622,
77,9.641,1672.978,552,2527,
78,9.641,653.64,250,1104,
79,9.641,1194.116,552,1646,14
80,9.641,385.324,247,530,
81,9.641,202.933,61,552,
82,9.641,511.493,250,738,
83,9.641,1234.88,552,1716,
84,9.641,549.969,250,921,
85,9.641,899.036,552,1344,15
86,9.641,359.604,250,526,
87,9.641,223.258,44,552,
88,9.641,313.018,156,488,
89,9.641,1095.796,552,1450,
90,9.641,678.582,250,1196,
91,9.641,1343.582,552,1878,16
92,9.641,390.071,250,561,
93,9.641,170.267,30,552,
94,9.641,396.884,222,611,
95,9.641,1459.071,552,1917,
96,9.641,649.471,250,1003,
97,9.641,1264.898,552,1914,17
98,9.641,354.031,227,513,
99,9.641,133.156,9,552,
100,9.641,392.449,126,573,
101,9.641,1271.658,552,1800,
102,9.641,498.347,250,897,
103,9.641,583.436,434,782,18
104,9.641,203.742,104,291,
105,9.641,138.142,6,552,
106,9.641,305.618,186,485,
107,9.641,747.049,521,1007,
108,9.641,506.822,229,914,
