 ,Area,Mean,Min,Max
1,9.641,1158.244,672,2437
2,9.641,1190.062,648,3187
3,9.641,608.218,41,2437
4,9.641,1421.916,692,3187
5,9.641,1084.453,469,2437
6,9.641,2435.480,1313,3187
7,9.641,1394.480,909,2437
8,9.641,1191.529,668,3187
9,9.641,433.858,28,2437
10,9.641,1205.689,573,3187
11,9.641,1338.942,741,2437
12,9.641,1811.422,829,3187
13,9.641,1298.249,713,2437
14,9.641,1051.187,508,3187
15,9.641,409.227,0,2437
16,9.641,1023.600,457,3187
17,9.641,1282.427,643,2437
18,9.641,1839.511,831,3187
19,9.641,1074.271,508,2437
20,9.641,1128.516,662,3187
21,9.641,526.858,88,2437
22,9.641,1273.916,642,3187
23,9.641,996.120,441,2437
24,9.641,1834.702,781,3187
25,9.641,898.982,419,2437
26,9.641,916.089,373,3187
27,9.641,506.787,55,2437
28,9.641,1626.591,967,3187
29,9.641,795.120,284,2437
30,9.641,1774.409,706,3187
31,9.641,1627.276,876,2437
32,9.641,1474.009,979,3187
33,9.641,463.107,28,2437
34,9.641,1538.644,756,3187
35,9.641,1315.289,643,2437
36,9.641,2165.147,983,3187
37,9.641,1129.000,615,2437
38,9.641,1138.484,605,3187
39,9.641,442.436,19,2437
40,9.641,974.462,444,3187
41,9.641,1025.751,560,2437
42,9.641,1585.342,739,3187
43,9.641,773.400,333,2437
44,9.641,860.982,306,3187
45,9.641,416.862,8,2437
46,9.641,960.156,487,3187
47,9.641,701.333,210,2437
48,9.641,1508.618,627,3187
49,9.641,1160.724,659,2437
50,9.641,1155.582,660,3187
51,9.641,436.916,23,2437
52,9.641,1071.227,462,3187
53,9.641,806.129,242,2437
54,9.641,1915.978,640,3187
