 ,Area,Mean,Min,Max,
1,9.641,1387.102,547,2097,1
2,9.641,373.507,264,518,
3,9.641,226.173,83,547,
4,9.641,331.187,173,477,
5,9.641,1572.356,547,2331,
6,9.641,592.658,285,1104,
7,9.641,1325.253,547,1941,2
8,9.641,380.4,263,533,
9,9.641,222.262,58,547,
10,9.641,410.027,218,726,
11,9.641,1431.991,547,2055,
12,9.641,664.756,285,1335,
13,9.641,1821.458,547,2539,3
14,9.641,473.804,285,657,
15,9.641,257.809,123,547,
16,9.641,429.24,261,663,
17,9.641,1977.404,547,2671,
18,9.641,832.453,285,1438,
19,9.641,1320.44,547,2003,4
20,9.641,448.458,285,643,
21,9.641,306.662,144,547,
22,9.641,521.289,285,840,
23,9.641,1449.893,547,1959,
24,9.641,1179.373,285,1811,
25,9.641,2077.551,547,3189,5
26,9.641,570.929,285,815,
27,9.641,270.476,90,547,
28,9.641,827.062,285,1128,
29,9.641,2397.938,547,3446,
30,9.641,1011.867,285,1571,
31,9.641,1313.378,547,1819,6
32,9.641,368.138,250,573,
33,9.641,331.947,174,547,
34,9.641,614.342,285,980,
35,9.641,1431.053,547,2075,
36,9.641,903.849,285,1339,
37,9.641,1640.342,547,2308,7
38,9.641,469.773,285,614,
39,9.641,382.036,226,547,
40,9.641,688.418,285,982,
41,9.641,1819.649,547,2374,
42,9.641,766.893,285,1329,
43,9.641,1990.467,547,2776,8
44,9.641,490.867,285,698,
45,9.641,210.627,49,547,
46,9.641,424.711,279,585,
47,9.641,1882.524,547,2582,
48,9.641,777.08,285,1401,
49,9.641,1430.76,547,2046,9
50,9.641,346.004,215,527,
51,9.641,288.062,135,547,
52,9.641,411.596,240,602,
53,9.641,1475.156,547,2017,
54,9.641,534.569,247,1122,
55,9.641,1552.724,547,2088,10
56,9.641,429.444,285,611,
57,9.641,292.653,114,547,
58,9.641,440.644,182,711,
59,9.641,1526.68,547,2086,
60,9.641,660.849,285,1338,
61,9.641,1351.404,547,1824,11
62,9.641,379.004,252,614,
63,9.641,297.222,147,547,
64,9.641,508.667,240,777,
65,9.641,1552.342,547,2238,
66,9.641,677.107,261,1212,
67,9.641,2015.631,547,2708,12
68,9.641,419.978,285,566,
69,9.641,239.284,80,547,
70,9.641,446.667,225,654,
71,9.641,2040.164,547,2963,
72,9.641,766.32,285,1127,
73,9.641,1163.804,547,1632,13
74,9.641,425.662,285,620,
75,9.641,242.298,84,547,
76,9.641,459,285,691,
77,9.641,1324.391,547,1890,
78,9.641,850.769,285,1409,
79,9.641,2258.089,547,3266,14
80,9.641,636.373,285,896,
81,9.641,233.164,91,547,
82,9.641,598.231,285,916,
83,9.641,2672.698,547,3878,
84,9.641,1054.564,285,1523,
85,9.641,1648.471,547,2335,15
86,9.641,449.022,285,642,
87,9.641,282.396,124,547,
88,9.641,673.444,285,1000,
89,9.641,2134.671,547,3057,
90,9.641,758.351,285,1414,
91,9.641,2298.996,547,3709,16
92,9.641,683.898,285,922,
93,9.641,295.333,144,547,
94,9.641,700.324,285,1062,
95,9.641,2130.876,547,3148,
96,9.641,851.138,285,1385,
97,9.641,1508.436,547,2084,17
98,9.641,418.187,285,551,
99,9.641,277.209,129,547,
100,9.641,494.004,189,793,
101,9.641,1596.996,547,2270,
102,9.641,756.831,285,1343,
103,9.641,1400.991,547,1887,18
104,9.641,412.28,285,595,
105,9.641,250.298,106,547,
106,9.641,578.471,285,810,
107,9.641,1532.053,547,2223,
108,9.641,809.524,285,1430,
109,9.641,1363.471,547,1885,19
110,9.641,371.653,261,506,
111,9.641,200.236,42,547,
112,9.641,296.196,109,531,
113,9.641,1423.827,547,1960,
114,9.641,748.556,278,1287,
115,9.641,1732.516,547,2383,20
116,9.641,453.36,285,632,
117,9.641,294.533,89,547,
118,9.641,593.996,285,843,
119,9.641,1792.129,547,2569,
120,9.641,766.009,285,1258,
