 ,Area,Mean,Min,Max
1,9.641,1850.947,1064,3954
2,9.641,1299.329,786,3474
3,9.641,670.062,45,3954
4,9.641,1405.840,806,3474
5,9.641,1643.262,742,3954
6,9.641,1909.102,855,3474
7,9.641,1741.782,571,3954
8,9.641,1428.009,835,3474
9,9.641,747.378,73,3954
10,9.641,1498.244,877,3474
11,9.641,1826.929,1066,3954
12,9.641,2074.591,1004,3474
13,9.641,1782.707,954,3954
14,9.641,1813.969,1248,3474
15,9.641,787.147,93,3954
16,9.641,1988.142,1337,3474
17,9.641,1731.236,783,3954
18,9.641,2602.227,1528,3474
19,9.641,2166.804,1422,3954
20,9.641,1550.627,1011,3474
21,9.641,677.240,65,3954
22,9.641,1243.209,557,3474
23,9.641,1786.551,968,3954
24,9.641,2175.956,918,3474
25,9.641,1369.253,530,3954
26,9.641,1294.000,763,3474
27,9.641,652.462,16,3954
28,9.641,1517.320,856,3474
29,9.641,1247.791,582,3954
30,9.641,2025.991,893,3474
31,9.641,1304.067,609,3954
32,9.641,982.764,453,3474
33,9.641,625.458,16,3954
34,9.641,1148.173,420,3474
35,9.641,1179.800,374,3954
36,9.641,1390.187,589,3474
37,9.641,1485.120,741,3954
38,9.641,1216.013,685,3474
39,9.641,652.396,32,3954
40,9.641,1355.516,730,3474
41,9.641,1389.787,579,3954
42,9.641,1780.671,688,3474
43,9.641,1324.578,566,3954
44,9.641,1098.156,547,3474
45,9.641,668.427,39,3954
46,9.641,1245.671,717,3474
47,9.641,1275.382,565,3954
48,9.641,1508.707,509,3474
49,9.641,1236.702,487,3954
50,9.641,1090.724,519,3474
51,9.641,613.498,11,3954
52,9.641,1297.302,578,3474
53,9.641,1124.404,363,3954
54,9.641,1837.569,813,3474
55,9.641,1718.271,1069,3954
56,9.641,1303.804,822,3474
57,9.641,662.133,35,3954
58,9.641,1587.964,605,3474
59,9.641,1189.071,751,1949
60,9.641,1814.716,792,3474
61,9.641,1503.124,734,3954
62,9.641,1176.636,589,3474
63,9.641,651.702,23,3954
64,9.641,1198.996,582,3474
65,9.641,1359.662,599,3954
66,9.641,2407.329,1081,3474
67,9.641,1485.551,686,3954
68,9.641,1078.058,534,3474
69,9.641,638.653,46,3954
70,9.641,1099.338,464,3474
71,9.641,1430.764,590,3954
72,9.641,1761.489,729,3474
73,9.641,1300.511,576,3954
74,9.641,1066.133,528,3474
75,9.641,621.409,30,3954
76,9.641,1116.107,497,3474
77,9.641,1416.578,638,3954
78,9.641,1956.956,856,3474
79,9.641,1377.916,589,3954
80,9.641,1074.573,565,3474
81,9.641,614.658,13,3954
82,9.641,917.160,391,3474
83,9.641,1475.320,715,3954
84,9.641,1605.178,732,3474
85,9.641,1778.471,815,3954
86,9.641,1192.053,688,3474
87,9.641,603.227,6,3954
88,9.641,1437.027,547,3474
89,9.641,1864.396,970,3954
90,9.641,1662.436,698,3474
91,9.641,1551.942,635,3954
92,9.641,1151.027,612,3474
93,9.641,634.422,7,3954
94,9.641,1322.000,765,3474
95,9.641,1475.818,632,3954
96,9.641,1763.320,733,3474
97,9.641,1504.271,767,3954
98,9.641,1207.062,587,3474
99,9.641,751.707,89,3954
100,9.641,1311.422,623,3474
101,9.641,1386.080,521,3954
102,9.641,2128.049,943,3474
103,9.641,1497.720,647,3954
104,9.641,1122.280,460,3474
105,9.641,639.591,20,3954
106,9.641,1337.213,684,3474
107,9.641,1561.698,656,3954
108,9.641,2109.369,987,3474
109,9.641,1529.782,824,3954
110,9.641,1282.218,761,3474
111,9.641,635.662,26,3954
112,9.641,1255.582,718,3474
113,9.641,1438.524,669,3954
114,9.641,1751.289,748,3474
115,9.641,1768.911,657,3954
116,9.641,1478.507,753,3474
117,9.641,683.658,65,3954
118,9.641,1520.133,848,3474
119,9.641,1582.973,584,3954
120,9.641,1719.671,653,3474
